UF,Jan/2004,Fev/2004,Mar/2004,Abr/2004,Mai/2004,Jun/2004,Jul/2004,Ago/2004,Set/2004,Out/2004,Nov/2004,Dez/2004,Jan/2005,Fev/2005,Mar/2005,Abr/2005,Mai/2005,Jun/2005,Jul/2005,Ago/2005,Set/2005,Out/2005,Nov/2005,Dez/2005,Jan/2006,Fev/2006,Mar/2006,Abr/2006,Mai/2006,Jun/2006,Jul/2006,Ago/2006,Set/2006,Out/2006,Nov/2006,Dez/2006,Jan/2007,Fev/2007,Mar/2007,Abr/2007,Mai/2007,Jun/2007,Jul/2007,Ago/2007,Set/2007,Out/2007,Nov/2007,Dez/2007,Jan/2008,Fev/2008,Mar/2008,Abr/2008,Mai/2008,Jun/2008,Jul/2008,Ago/2008,Set/2008,Out/2008,Nov/2008,Dez/2008,Jan/2009,Fev/2009,Mar/2009,Abr/2009,Mai/2009,Jun/2009,Jul/2009,Ago/2009,Set/2009,Out/2009,Nov/2009,Dez/2009,Jan/2010,Fev/2010,Mar/2010,Abr/2010,Mai/2010,Jun/2010,Jul/2010,Ago/2010,Set/2010,Out/2010,Nov/2010,Dez/2010,Jan/2011,Fev/2011,Mar/2011,Abr/2011,Mai/2011,Jun/2011,Jul/2011,Ago/2011,Set/2011,Out/2011,Nov/2011,Dez/2011,Jan/2012,Fev/2012,Mar/2012,Abr/2012,Mai/2012,Jun/2012,Jul/2012,Ago/2012,Set/2012,Out/2012,Nov/2012,Dez/2012,Jan/2013,Fev/2013,Mar/2013,Abr/2013,Mai/2013,Jun/2013,Jul/2013,Ago/2013,Set/2013,Out/2013,Nov/2013,Dez/2013,Jan/2014,Fev/2014,Mar/2014,Abr/2014,Mai/2014,Jun/2014,Jul/2014,Ago/2014,Set/2014,Out/2014,Nov/2014,Dez/2014,Jan/2015,Fev/2015,Mar/2015,Abr/2015,Mai/2015,Jun/2015,Jul/2015,Ago/2015,Set/2015,Out/2015,Nov/2015,Dez/2015,Jan/2016,Fev/2016,Mar/2016,Abr/2016,Mai/2016,Jun/2016,Jul/2016,Ago/2016,Set/2016,Out/2016,Nov/2016,Dez/2016,Jan/2017,Fev/2017,Mar/2017,Abr/2017,Mai/2017,Jun/2017,Jul/2017,Ago/2017,Set/2017,Out/2017,Nov/2017,Dez/2017,Jan/2018,Fev/2018,Mar/2018,Abr/2018,Mai/2018,Jun/2018,Jul/2018,Ago/2018,Set/2018,Out/2018,Nov/2018,Dez/2018,Jan/2019,Fev/2019,Mar/2019,Abr/2019,Mai/2019,Jun/2019,Jul/2019,Ago/2019,Set/2019,Out/2019,Nov/2019,Dez/2019,Jan/2020,Fev/2020,Mar/2020,Abr/2020,Mai/2020,Jun/2020,Jul/2020,Ago/2020,Set/2020,Out/2020,Nov/2020,Dez/2020,Jan/2021,Fev/2021,Mar/2021,Abr/2021,Mai/2021,Jun/2021,Jul/2021,Ago/2021,Set/2021,Out/2021,Nov/2021,Dez/2021,Jan/2022,Fev/2022,Mar/2022,Abr/2022,Mai/2022,Jun/2022,Jul/2022,Ago/2022,Set/2022,Out/2022,Nov/2022,Dez/2022,Jan/2023,Fev/2023,Mar/2023,Abr/2023,Mai/2023,Jun/2023,Jul/2023,Ago/2023,Set/2023,Out/2023,Nov/2023,Dez/2023,Jan/2024,Fev/2024,Mar/2024,Abr/2024,Mai/2024,Jun/2024,Jul/2024,Ago/2024,Set/2024,Out/2024,Nov/2024,Dez/2024,Jan/2025,Fev/2025,Mar/2025,Abr/2025,Mai/2025,Jun/2025,Jul/2025,Ago/2025,Set/2025,Out/2025,Nov/2025,Dez/2025
Ceara,518714,469181.229,508966.156,523200.083,501515,511009,495416,531184.836,564012.832,553697.617,575825.437,575617.513,563303.967,544337.107,559221.218,550633.351,559737.606,546498.623,549962.195,582135.948,578428.806,595935.859,598470.414,595021.336,595420.958,567170.677,561689.224,555420.37,558304.357,561211.865,551525.953,580901.971,594826.754,621035.825,624502.867,606952.027,605060,590036,555759,595118,585007,593903,590897,617797,613243,647142,653447,651412,622812,621114,610662,581639,601608,602625,629975,643095,654815,692772,680123,681614,685028,619992,618623,615309,615709,614239,635046,678471,681184,718245,722155,713681,713169,683893,733041,727540,720365,741230,744855,730223,769216,771275,776945,764275,743669,697951,707190,710914,711282,726565,752115,764517,810926,810091,798618,793797,822700,799545,782977,813199,811430,832457,824129,853153,856246,881404,877578,869794,889393,888336,854292,879856,895137,888268,836396,891915,936809,965843,976758,905633,925025,943695,928567,889692,951714,886364,940659,951073,971410,1006509,1002098,962757,968856,968919,908284,910058,951207,948648,914343,952555,943752,961704,992582,973364,962002,914225,966560,984377,1009361,1060859,1045507,1018653,1012460,998021,1004640,1002477,943562,904072.395,911104,916064,953197,965510.899,943600,963895,988503,1000058,1020812,978163,935126.18,892617.97,897299.787,931559.268,949610.026,981500.709,937101.202,945376.392,956972.261,949235.767,988434.586,970120.189,991072.128,1046845.638,980258.194,962729.362,1010850.693,984917.511,1009275.631,986338.985,1034167.415,1053517.333,1137739.588,1160739.445,1083880.836,979825.691,973861.192,869822.605,897218.72,935824.273,969613.726,1017914.578,1052712.747,1142008.413,1091471.337,1112178.015,1097673.545,1049140.357,1024444.968,1045751.77,1039072.46,1088225.292,1047335.818,1104300.756,1124507.851,1144290.734,1147996.233,1192039.83,1093173.541,1029968.441,1066554.309,1061812.165,1033091.005,1050138.235,1029371.793,1078466.042,1113885.354,1136817.171,1157478.572,1133253.547,1098418.492,1075682.103,1042862.661,1094869.362,1085921.602,1159928.592,1070238.713,1131225.167,1193061.264,1172211.394,1242843.731,1177574.969,1175404.205,1196713.734,1102033.643,1142601.09,1190295.865,1169057.589,1141769.214,1190545.221,1190325.805,1188821.571,1260162.825,1202224.357,1223595.429,1174723.066,1133106.156,1146445.204,1230944.28,1201127.206,1157844.202,,,,,
Rio Grande do Norte,268614.118,233950.875,257966.102,264504.727,258761.564,263985.242,249242.893,262303.058,265269.313,276664.463,293826.355,300457.754,286725.751,281224.355,284825.694,289515.504,294997.663,275820.22,292472.334,292479.181,295852.351,302204.793,311057.031,328161.216,292111.169,298099.117,317714.588,296291.33,296685.573,304075.588,299123.405,315092.262,313561.656,334813.779,335094.525,330992.99,328903,322914,324153,328843,320781,319902,316110,323798,329406,338813,348304,352101,344022,346277,344927,325614,323292,314179,317615,317902,336388,350269,355174,366086,350083,327442,339349,334110,319921,316696,316432,336579,349858,365008,375054,396747,365312,343086,386626,382585,373048,383436,369121,359858,372353,389256,396046,402604,371810,373878,382208,377555,361614,367707,360942,368216,380644,400217,412770,420419,403529,383212,405331,393003,414540,397312,388388,400210,407125,412881,427926,436602,432387,417708,432488,442376,435433,422653,408287,435163,427795,451630,452917,457309,457425,444420,465407,450059,462255,424962,441893,447757,450226,468354,477528,475334,476314,459276,465932,454406,470344,460108,436790,440534,447152,461981,466736,477028,461199,439684,461166,463977,461676,455703,455191,462449,471179,478086,486808,491418,473720,460764,475026,466269,480071,469402,439747,447785,462042,476251,475865,498469,496448,461626,482261,461048,446750,453723,438544,465124,478975,501759,516316,499833,504901,484333,481420,451083,474869,468974,462536,467479,470227,503111,507230,512444,511867,476077,490671,448785,440327,424875,442741,458019,485122,502056,482090,475494,535677,507088,510391,502849,465583,484080,486327,489419,498197,506332,519893,532188,526707,474452,512403,489803,484346,448061,452715,460635,483576,491666,509178,515422,515563,489377,506437,475277,493055,479417,473602,486814,493547,505480,516865,518053,532208,514396,514805,516568,507431,495406,480375,487184,507442,500768,521928,532543,533550,500048,501678,495492,525864,501473,483045,,,,,
Paraiba,236448.974,226289.392,242215.126,235364.13,234298.802,236512.263,235539.246,233748.45,245145.596,253093.514,253953.469,258616.437,261435.673,246418.338,260803.84,262054.225,256928.175,245076.934,247285.539,254729.322,258094.171,266631.876,273755.998,267609.302,269455.435,265295.608,270569.924,272794.636,273337.547,270753.843,257342.414,270998.489,269280.67,281007.975,292429.256,285813.661,281295,270344,284553,283947,287147,273878,272817,277560,273632,297417,305978,303794,307173,299397,297464,296192,299701,293089,292872,298491,300087,312840,315201,309038,309739,288272,305587,305565,302783,295444,303923,311900,305026,327555,327031,331668,330804,320908,359119,354954,349533,343712,340840,335658,340524,355771,370926,378304,346337,337034,374291,356034,354137,335990,337515,342297,346426,367518,377157,381925,379984,355758,392404,385558,385107,370656,371232,384265,371687,388234,385780,399357,421347,411644,420365,425105,407030,390927,401000,398371,396309,409000,410373,418829,444699,435755,437397,426212,443345,407146.883,414269,402128,415717,423306,432384,421002,442275,444521,449463,441425,430672,415013,405013,421405,435654,432781,439685,421635,430324,418811,441530,436467,427548,424316,429311,415382,439668,436770,443648,442610,451040,416309,462956,437615,435732,435713,410456,422984,420269,442214,456772,454409,473698.171,442042.852,458712.21,443056.413,438020.313,426783.82,431977.588,443853.649,432359.84,466866.037,480609.671,466491.31,489002.152,457357.648,466568.223,470542.585,480249.831,444183.536,445114.919,433351.496,443848.419,474596.383,483570.295,498275.284,496090.866,495737.642,487189.575,441137.407,441060.808,389368.316,429710.976,441804.077,459409.979,493956.638,512327.186,510081.987,507812.386,492508.891,504484.398,491720.013,471318.341,456773.698,471037.233,473641.373,477189.224,500605.357,503351.759,530933.336,495134.839,463191.169,512456.818,485090.183,487167.666,446240.671,452940.54,455182.777,469368.474,480109.891,497050.255,507007.185,505875.265,496568.276,501072.109,501358.132,523851.711,466286.766,450153.705,473222.23,494604.675,512081.613,535821.354,527996.081,546610.413,534228.968,543258.141,564788.738,553484.873,519179.324,510096.57,511261.947,506194.318,550471.432,545977.426,579827.14,582603.794,550485.461,561491.299,558566.143,584841.787,534349.266,532315.581,,,,,
Pernambuco,643102.413,612330.757,658773.99,674646.346,649438.435,642487.324,619249.704,634549.336,681675.983,687210.505,705356.91,730310.627,728644.484,687891.595,752498.066,724658.119,708030.111,667440.018,646352.309,683005.949,696510.612,724671.808,735154.05,743785.027,736715.272,695496.362,769090.502,736370.777,730604.236,697088.25,697130.653,690132.998,701300.116,755412.246,759765.649,786701.222,783429,753749,785722,780940,789314,759461,745167,744858,733323,794652,806500,852714,808510,797931,826423,792763,814884,777357,775514,769220,782212,838744,856867,889627,784284,772196,813957,843022,835953,806492,809556,834820,837536,877025,896987,976778,861949,866720,958801,915392,930543,882344,868402,877257,863283,932621,948170,1030851,951431,886057,978359,968206,918866,898913,885607,933194,923045,965989,967911,1013195,999461,951255,1026355,976358,1018635,968785,937645,960852,952219,984850,1024148,1030943,1075306.1,1039717.4,1085835.8,1133978.4,1092882.5,1024909.9,1033544.7,1049260.7,1061302.1,1118198.1,1127331.4,1130353.7,1147433.7,1078900.1,1149168.2,1130215.6,1139099.7,1101169.3,1086376.2,1099826.7,1103348.8,1160594.59,1169697.29,1196022.53,1196393.596,1188048.013,1197886.863,1192467.218,1236424.386,1157959.469,1086731.959,1083834.804,1110648.898,1164032.478,1153206.606,1210838.627,1149261.202,1117816.91,1210737.899,1207658.219,1201182.095,1144539.025,1113899.254,1123353.096,1122231.833,1182732.619,1201229.802,1238405.516,1182827.019,1172822.067,1254542.978,1200978.819,1198951.746,1145464.461,1105782.206,1102544.608,1122150.721,1172943.143,1200939.281,1240092.474,1167829.48,1159521.5,1190835.25,1171049.07,1159272.15,1130063.85,1091636.63,1120616.71,1121092.38,1233056.32,1260062.43,1269813.48,1195509.41,1179616.2,1267705.57,1216641.17,1273354.45,1156139.92,1164004.65,1129232.26,1114402.44,1260933.39,1265412.35,1334160.06,1223831.401,1198410.96,1273389.947,1155340.385,1146723.492,1066854.213,1133297.397,1134346.543,1160147.093,1243890.027,1213289.582,1203361,1317539,1240774.149,1310438.592,1296626.145,1223606.23,1202780.122,1185446.129,1214305.018,1215559.531,1317791.705,1316856.526,1370287.454,1302832.853,1282724.041,1336981.976,1283648.661,1293889.39,1203390.647,1169384.916,1188471.348,1210059.025,1239699.462,1259054.491,1254999.205,1272936.883,1253957.989,1332269.569,1266303.709,1310176.82,1222881.47,1189652.99,1209125.533,1255276.107,1280823.367,1338451.09,1348210.779,1322746.716,1312687.501,1366703.561,1371987.716,1357944.739,1305674.346,1230629.262,1265292.23,1275192.347,1270152.789,1351540.475,1391177.826,1288423.653,1282369.303,1300594.816,1307131.626,1341068.853,1238891.798,1225399.364,,,,,
Alagoas,285489,266555,259855,289626,284219,284384,282241,281415,279917,290729,289596,296464,309966.341,299491.174,305007.002,309318.624,302801,289531.803,290315.086,308549.371,307224.065,275948,327416,314279,306138.522,304670.446,326531.427,325870.573,258974.27,275229.149,271425.041,295097.746,291495.495,311416.98,318255.992,317105.155,331620,321780,307461,311332,281633,313838,303033,309509,287191,312799,337471,329131,350434,330540,339146,328117,322019,304535,312631,315364,317375,305693,339425,342853,328802,329233,317468,324488,310678,297073,290755,303074,318049,308165,326496,327809,338838,335503,344091,355768,343299,343200,322066,327794,323338,336261,344464,290745,330437,271114,312698,361828,272261,289297,332757,329927,343981,339036,350298,348817,370485,369687,402441,382239,355381,353065,360269,371283,349340,337458,389893,405480,411002,400264,415806,421754,393182,394406,381462,379761,361840,395560,387546,443986,445792,401345,422230,417985,408470,391283,399265,396213,401275,394429,422006,449320,433782,384767,423939,427810,401446,401050,389205,383573,395306,421944,413527,434131,417484,392439,426875,380810,414658,379631,394384,402411,403866,412677,420779,434492,427887,393159,454024,413951,401121,400813,392453,414223,388209,419759,424648,429615,363862.312,304520.465,322656.165,411156.516,410880.445,389411.167,415725.311,391495.848,390713.497,443636.638,438532.642,426137.251,435556.999,377864.002,382951,371636.804,343603.003,280361.299,285085.002,292195,303691.999,333298,352297,369785.999,362457.871,345151.169,341002.739,304044.136,297142.606,298214.8,298007.36,290565.72,306276.584,332391.953,377389.415,377681.795,368713.592,369229.784,421049.991,383050.032,393905.771,344729.721,342253.323,370052.877,392569.566,391255.511,389946.042,450239.63,429185.264,434749.52,461674.279,419526.758,360711.621,357398.174,426474.754,427756.525,394730.802,411108.062,409214.333,427641.752,469346.617,430041.121,475804.099,474164.162,459426.974,444615.97,399693.496,398214.325,441572.715,453900.14,487945.716,499626.899,510976.252,484099.301,539348.756,474724.403,460361.183,427272.241,437674.653,460318.251,458290.762,451738.399,490343.425,541356.09,496516.394,477121.07,502145.662,481264.917,498810.481,429417.133,411264.086,,,,,
Sergipe,192207.009,182026.123,195611.08,204065.063,186831.217,193240.769,197780.377,193385.832,195500.379,200142.798,210695.093,214853.765,210817.902,200082.313,215087.181,215037.357,207359.342,210641.001,200148.475,199759.581,209592.582,222470.441,226572.414,225130.426,219440.4,215680.878,226488.554,223170.479,222264.517,217248.83,210868.101,221196.344,220819.497,221416.564,229038.366,235173.76,236684,226878,228456,237218,214106,218709,225131,231101,227699,240213,246824,248396,248582,238929,246965,248215,240444,229893,237046,236239,238227,252558,254362,258484,252691,256555,255365,265145,241379,242549,235273,248226,249475,273267,269742,276794,271155.354,259446,283947,269851,275464,267938,271993,263402,262638,282157,290852,296006,295108,263783,299582,293098,291017,270766,283904,286760,288039,297012,295341,309185,307050,295292,319658,309597,310543,286796,293251,295363,282742,303260,301051,317110,325139,320185,332197,330850,315944,309203,311934,309774,304131,318073,317644,329495,340330,345739,336085,327779,318018,303435,304970,312992,321521,328732,318516,323207,351789,339156,345076,342466,322296,305600,294969,294801,303139,315159,313364,318940,324420,318336,331494,318932,312118,303511,301680,302970,308145,309480,328619,323824,324932,311415,332415,320254,312519,293722,283428,281724,266855,297473,319739,323097,334457.692,315118.962,327619.553,321357.452,307917.717,289027.362,293250.336,301574.97,298990.254,314482.301,317122.136,320103.72,328854.468,310388.707,316647.865,313706.326,326216.854,296988.091,287907.234,287310.98,295807.409,307271.198,318836.665,330693.995,322040.943,326873.87,326673.543,283494.479,295797.015,274455.738,272708.092,282656.974,296041.083,314489.65,319713.512,327218.763,326570.203,314869.413,344441.285,335156.873,319752.922,302275.612,311283.869,309553.364,315015.777,324440.075,324245.739,346052.833,327519.17,329924.439,350565.119,330332.725,329398.629,294849.204,284618.789,300176.728,310985.465,327087.477,325927.438,339751.227,342141.954,327801.348,352982.685,330558.741,323272.054,305966.627,302203.806,314259.879,337300.583,345219.702,359943.381,353616.089,362058.038,345894.968,373204.702,362338.052,354544.216,328737.475,326774.446,334622.358,337183.131,352837.46,345636.103,376018.01,373579.392,367761.48,373161.679,373995.474,376105.792,334427.157,341860.288,,,,,
Bahia,1444451.469,1344183.836,1393925.431,1419046.083,1436199.514,1424739.2,1434806.786,1420586.978,1457221.821,1473942.593,1495173.971,1503809.655,1520662.484,1442667.008,1439330.896,1478858.49,1520019.816,1447071.07,1514700.956,1501307.375,1505433.321,1520260.46,1512473.585,1526993.625,1543146.392,1470255.119,1563545.557,1494710.962,1509377.673,1482737.824,1479518.003,1544336.737,1540715.839,1569502.23,1550968.202,1514805.52,1582825,1447740,1506431,1574007,1611848,1582049,1635476,1634423,1637484,1723005,1721054,1719455,1752197,1659685,1662199,1693110,1791863,1677496,1689346,1718424,1732150,1799295,1670664,1593667,1542315,1548413,1737341,1634487,1520184,1540346,1613806,1695018,1739886,1780992,1666847,1830503,1716692,1726367,1928878,1753813,1826508,1818018,1777545,1747253,1781629,1840274,1813748,1810381,1757892,1594763,1824507,1730107,1788288,1712753,1753737,1809286,1748654,1772267,1710019,1757126,1810031,1715223,1899074,1825842,1903593,1714476,1762030,1828341,1837674,1876163,1811417,1827496,1935486,1868881,1997132,2066218,1961571,1803275,1970520,1900552,1889354,2014150,1973543,1941005,2032130,1962083,2070030,2075100,2057781,1962626,2050954,2064288,2086052,2146426,2146305,2091206,2086183.676,2012148.598,2120682.072,2077299.821,2069074.36,1955895.086,1895443.29,1925103.309,1894249.987,2011883.059,2012012.34,2089120.577,2005205.001,1912580.002,2144824,2003056,2052298.63,1988550.847,1897585.846,1939835,1955652,1989559,2012128,2044138.909,2080947.866,1927898,2103181.251,2018858.278,2065445.918,2039101.952,1977196.666,1980862.494,1928948.585,2104313.837,2050618,2054081.072,2094036.857,2000892.385,2075772.416,2098355.7,2100432.789,2053311.118,2048945.077,2090198.961,2018557.844,2165217.875,2209672.089,2136708.596,2180317.819,2122425.506,2299390.853,2145126.478,2249368.637,2083293.733,2097965.124,2007274.362,1996430.604,2209881.603,2220143.543,2315582.979,2219580.053,2125501.759,2174986.149,1996214.609,1964442.649,1934263.646,2052526.439,1953326.62,2077032.203,2250669.493,1995955.405,2071142.248,2307961.995,2174669.858,2222090.397,2229399.706,2116260.585,2133412.828,2131956.08,2107448.231,2078646.295,2263469.962,2215322.773,2217221.029,2132622.697,2085483.075,2249515.982,2223013.263,2245695.952,2172444.735,2181349.035,2179929.596,2153837.313,2222570.824,2297059.821,2137373.012,2160398.21,2160697.403,2317437.069,2289126.128,2279320.679,2213400.375,2105119.145,2204116.762,2284989.315,2304531.356,2376845.242,2430838.137,2399041.74,2270269.5,2307521.331,2403355.686,2313720.82,2350531.751,2275073.333,2272105.267,2312206.069,2284010.992,2399353.041,2359069.079,2286184.958,2273780.703,2346158.765,2390043.805,2355170.833,2277932.084,2212972.813,,,,,
Minas Gerais,3732811.224,3582369.487,3605416.332,3668628.06,3692794.905,3769020.897,3739868.989,3803149.209,3895351.742,3885073.218,4019478.047,3914811.693,3824588.163,3749508.544,3686301.878,3952141.115,3770817.369,3717822.075,3711709.99,3919031.511,4037669.603,3843654.141,3891791.351,3887556.055,3708988.208,3696699.652,3621786.489,3808440.198,3740285.141,3848372.184,3777480.801,3858993.836,3944751.607,3829095.284,3958582.643,3773494.505,4040359,3981488,3917893,4158376,4175550,4134851,4049422,4171542,4253615,4221229,4334405,4191547,3910849,3648135,3973471,3852696,4100530,4163045,4161299,4273051,4261035,4261176,4321299,3732483,3550614,3387650,3462360,3694956,3641730,3646282,3651841,3956382,3986793,4000667,4105075,4007135,4076332,4038372,4113813,4273730,4206896,4298603,4267568,4407727,4477944,4438271,4386766,4326835,4431243,4304659,4338168,4448708,4398160,4490762,4473325,4589082,4671256,4553910,4517981,4393456,4290700,4344385,4483034,4537603,4374497,4444059,4369614,4521364,4591928,4606163,4634519,4209191,4490111,4194013,4231557,4453607,4492794,4525377,4389860,4670642,4681220,4579565,4720019,4470119,4557459,4749168,4315704,4517861,4508094,4492649,4457843,4525439,4452441,4579315,4689444,4327218,4490375.786,4590876.531,4307554.691,4463240.88,4307339.628,4318477.641,4234924.473,4403513.165,4433693.193,4504864.34,4533535.724,4228408.042,4301269,4340956,4303480,4667026,4538198,4641623,4402989,4549837,4715825,4618801,4619249,4402963,4444518.54,4528533.42,4444534.72,4645865.92,4420911,4550751.03,4352092,4487171.26,4585258.89,4461929.27,4759310.05,4459524.72,4716736.561,4551117.417,4688540.473,4771307.976,4637059.247,4611537.013,4661887.911,4800722.206,4727227.024,4907742.647,4787556.582,4610334.799,4834920.207,4627720.342,4691696.058,4613124.677,4676584.45,4562744.329,4599724.464,4649165.13,4648202.209,4687748.556,4793789.282,4501611.594,4708762.178,4585062.917,4667379.945,4332063.295,4348680.285,4265841.456,4541210.706,4832243.732,4701369.957,5240759.297,4857917.999,4694334.777,5109304.181,4734986.802,5061234.305,5087759.785,5026528.031,4994938.805,4985129.621,5107975.717,5120934.38,5202373.755,4998163.96,4950735.49,4942128.025,4680352.99,5339645.969,5258200.337,5268416.135,5103374.704,5190169.642,5167727.212,5172783.624,5336051.41,5050600.433,5078748.047,5095531.929,4927133.356,5619862.411,5326562.35,5443073.173,5270435.264,5280897.768,5438757.176,5297051.787,5751116.308,5693792.487,5634876.132,5545890.519,5260005.387,5665542.965,5638844.07,5652577.192,5604390.684,5694551.066,5727643.657,5691257.132,5958147.019,5463519.057,5644098.394,5576110.711,5339797.644,5946602.534,5634864.93,5665591.548,5580803.044,5636514.984,,,,,
Espirito Santo,607655.057,583260.096,599524.936,583307.113,586400.763,571593.391,585851.529,589390.099,598050.525,609691.599,604979.177,614381.112,631196.81,598997.16,638275.375,634949.174,629676.357,628663.927,622957.535,636703.573,645068.753,652504.343,641410.718,645852.446,657079.734,669631.963,700442.079,669347.072,661887.039,652583.069,642793.476,689823.527,672782.252,669620.427,669217.241,667104.754,695639,677737,721907,726746,715984,677187,671650,697445,677804,704127,751833,727315,727416,693553,712044,712944,749627,733014,732777,751894,750252,776778,693222,568682,552533,587741,643515,630070,568841,628850,706460,718540,706689,752251,717707,757054,792152,805964,798245,790249,768770,765113,755833,735415,782492,788196,772124,831500,836939,835409,860493,820935,805575,786254,797325,810375,802058,784101,791770,836329,790622,816871,911314,855676,842103,846190,833471,839709,800835,830865,855751,836625,917588,870642,890742,888607,883565,843569,830160,888651,813601,875198,899785,890301,912823,938153,936516,902306,893521,884650,876534,902608,883056,948349,929947,916695,1012049,965446,991973,945709,909766,875898,881198,892164,878520,936899,863046,862263,807264,893867,926756,900365,857446,754158,758488,746928,797596,806660,792870,794011,863229,844460,873491,848699,812069,792786,733724,767689,785964,819991,837325,805656,859595,842803,932746,840530,820372,790173,805174,857231,829081,856164,876846,889237,897114.28,929908.89,967885.88,884073.92,900083.26,840801.29,795168.96,836492.83,853045.24,841266.68,867730.08,849231.17,816331.887,842430.295,886188.612,772442.561,766204.708,755058.765,787970.898,812456.33,864449.347,852071.511,846478.391,911064.599,937186.742,863494.499,899993.31,865260.871,871202.463,884022.722,869763.19,853937.881,888786.878,935817.596,854372.867,862080.207,875956.757,889724.886,1017082.684,937750.393,948893.55,848030.205,825696.775,891059.123,888837.784,893103.389,892581.086,855219.901,896576.457,913731.98,1057957.133,994578.642,933549.322,910714.76,899790.684,923531.354,910834.797,1023329.711,1047502.977,1126499.273,1072327.834,998838.259,1121381.653,1095874.175,1102283.417,1015038.254,1079355.548,1041707.517,1104105.694,1075462.305,996572.984,1162238.667,1122720.432,1151443.441,1179957.25,1072921.631,1068014.808,982675.485,1001267.278,,,,,
Rio de Janeiro,2612752.89,2630033.847,2582060.741,2626340.375,2530945.09,2366320.314,2466118.998,2407957.749,2494812.32,2567499.52,2572550.241,2677810.929,2757858.015,2588172.102,2658663.979,2854588.487,2668163.212,2640653.237,2544681.682,2593486.421,2780127.888,2637308.443,2714012.285,2789956.204,2688250.409,2868408.524,2825194.72,2768670.194,2689257.106,2472081.257,2605372.023,2648540.555,2561062.848,2675694.14,2751918.792,2839134.514,2842070,2747046,3138732,3048772,2783099,2548962,2518461,2604039,2706574,2697345,2811192,2804883,3031344,2835148,2930457,2908052,2860706,2623702,2683517,2754181,2723433,2818813,2870700,2682604,2806552,2843791,3033619,2802093,2662822,2513134,2609791,2524642,2680420.1,2783854,2927367.4,3122783.2,3151953,3139591,3168627,3048699,2934284,2800016,2749060,2800297,2877657,2989601,2899863,3241549,3426819,3374945,3332754,3178616,3093268,2800369,2798556,2927856,2970902,2995310,3031056,3077474,3173443,3264757,3471911,3252302,3132865,2956888,2974900,3061913,3031541,3129584,3313146,3286284,3562551,3343786,3507903,3326802,3210906,3134274,3101801,3109526,3120243,3301665,3346144,3403576,3713671,3828145.3,3745959,3481136,3283653,3180966,3097220,2962505,3146616,3398400,3456686,3482597,3959162.46,3806013.34,3819182.72,3535738.14,3326824.48,3171546,3101487,3204603,3093498.82,3330141,3398824.38,3381918.9,3727729.68,3524041.04,3600511.62,3642531.2,3327946.16,3024187.86,2930817.38,3091408.76,3153057,3235420.9,3262119.46,3369976.88,3708164.72,3587150.72,3797915.24,3285943.4,3134241.02,2966468,2870511.46,2927038.07,2866071,3185710.04,3215200,3337756.38,3614646.254,3368689.094,3739432.834,3625511.568,3321233.629,3067867.425,3056282.53,3069855.347,2972127.61,3285041.153,3192127.512,3384892.932,3825229.103,3558671.489,3695566.181,3352134.881,3421093.442,3059838.28,2964506.212,2980730.211,3010625.856,3208159.604,3388997.444,3227017.783,3563646.268,3467968.955,3457625.514,2910749.204,2811955.123,2739827.395,2845924.931,2960415.586,3112446.753,3393962.613,3254219.37,3599914.976,3511320.55,3452740.137,3583540.277,3405541.82,3106661.262,2974093.323,2844570.055,2916071.945,3106544.249,3077992.175,3061525.595,3215596.419,3300621.568,3409115.573,3637625.702,3479222.146,3133352.197,2876557.572,2862363.379,2908338.731,2861443.817,2937036.793,3061359.843,3121692.093,2881258.012,3323581.474,3563778.39,3314886.531,3028977.549,2931453.216,2847896.169,2973071.983,3032291.66,3109691.294,3204062.415,3290295.008,3471033.156,3434558.978,3573075.295,3447798.435,3439945.508,3174054.153,3044350.258,3032068.933,3092391.839,3273920.665,3170106.287,3134605.568,3436496.761,3621625.092,3703449.989,3311244.872,3100288.959,2926260.237,2831821.756,,,,,
