ANO REGIS;QTD DSI
2000;41.846
2001;37.821
2002;35.780
2003;33.755
2004;31.711
2005;34.450
2006;37.888
2007;41.582
2008;40.797
2009;42.297
2010;40.013
2011;42.151
2012;40.484
2013;34.201
2014;27.499
2015;21.387
2016;17.869
2017;17.587
2018;13.922
2019;13.964
2020;10.523
2021;9.644
2022;8.546
2023;7.653
