"Data";"Temperatura_Media";"Amplitude_Media";"Umidade_Media";"Vol_Chuva"
2015-04-15;21,475;0,979166666666666;83,6666666666667;1,6
2015-04-16;21,4625;1,16666666666667;81,4166666666667;0,2
2015-04-17;22,3625;1,1625;72,9583333333333;0
2015-04-18;23,4291666666667;1,12916666666667;71,75;0
2015-04-19;22,7666666666667;1,2625;80,4583333333333;2,4
2015-04-20;23,5041666666667;1,21666666666667;75,4583333333333;0
2015-04-21;23,6916666666667;1,175;76,9166666666667;0
2015-04-22;21,7291666666667;0,770833333333333;83,0416666666667;5,4
2015-04-23;21,8333333333333;1,02916666666667;78,9583333333333;0
2015-04-24;21,925;0,979166666666667;81,125;0
2015-04-25;21,025;0,970833333333333;74,125;0
2015-04-26;18,85;1,1;70,5416666666667;0
2015-04-27;20,2625;1,15;67,5833333333333;0
2015-04-28;20,9166666666667;1,3125;62,125;0
2015-04-29;20;1,0625;69,4583333333333;0
2015-04-30;18,6916666666667;1,1625;72,375;0
2015-05-01;18,5416666666667;1,3375;72,4583333333333;0
2015-05-02;20,0583333333333;1,42083333333333;70,25;0
2015-05-03;21,3791666666667;1,17916666666667;71,7916666666667;0
2015-05-04;19,3791666666667;0,65;80,875;21,2
2015-05-05;20,425;0,891666666666667;83,2916666666667;0
2015-05-06;19,4291666666667;1,0875;81,2916666666667;0
2015-05-07;18,1;1,11666666666667;74,375;0,2
2015-05-08;17,4041666666667;0,9625;74,25;0
2015-05-09;18,5833333333333;1,19166666666667;71,6666666666667;0
2015-05-10;19,9041666666667;1,19583333333333;74,875;18,2
2015-05-11;16,8333333333333;0,441666666666667;91,375;2,2
2015-05-12;16,725;1,16666666666667;80,4583333333333;0,2
2015-05-13;17,1333333333333;0,8875;80,5833333333333;0
2015-05-14;17,4583333333333;1,03333333333333;75,625;0
2015-05-15;17,5208333333333;0,858333333333334;72,2083333333333;0
2015-05-16;17,0666666666667;1,35;71,625;0
2015-05-17;17,1916666666667;1,3125;73,7916666666667;0
2015-05-18;17,85;0,808333333333334;79,4166666666667;0,2
2015-05-19;19,1;0,954166666666667;80,1666666666667;1
2015-05-20;18,5333333333333;0,758333333333333;80,3333333333333;0,2
2015-05-21;19,3833333333333;1,22916666666667;75,2916666666667;0,2
2015-05-22;19,6708333333333;1,05833333333333;72,1666666666667;0
2015-05-23;18,6166666666667;1,02083333333333;75,875;0
2015-05-24;19,3125;1,575;75,875;0
2015-05-25;20,45;1,49583333333333;73,125;0
2015-05-26;21,4416666666667;1,425;71,375;0
2015-05-27;21,675;1,1125;71;0
2015-05-28;17,0708333333333;0,795833333333333;84,7083333333333;3,2
2015-05-29;16,825;0,995833333333334;83,4166666666667;4
2015-05-30;15,5625;1,37916666666667;74,2083333333333;0,2
2015-05-31;15,75;0,7875;88,3333333333333;23,2
2015-06-01;17,6333333333333;0,541666666666667;89,7083333333333;4,2
2015-06-02;17,2666666666667;0,675;85;0
2015-06-03;18,2916666666667;1,24166666666667;81,5;0,2
2015-06-04;19,1291666666667;1,2125;76,875;0
2015-06-05;18,35;1,24583333333333;72,125;0,2
2015-06-06;19,3333333333333;1,3125;71,1666666666667;0
2015-06-07;20,0916666666667;1,52916666666667;69,2083333333333;0
2015-06-08;19,3583333333333;1,60833333333333;69,0833333333333;0
2015-06-09;18,7916666666667;1,575;65,375;0
2015-06-10;19,3791666666667;1,82916666666667;61,9583333333333;0
2015-06-11;19,0666666666667;1,42916666666667;64,4583333333333;0
2015-06-12;19,2041666666667;1,44583333333333;71,75;0
2015-06-13;20,2416666666667;1,50416666666667;66,2083333333333;0
2015-06-14;20,95;1,29583333333333;62,5416666666667;0
2015-06-15;18,375;0,983333333333334;80,3333333333333;3
2015-06-16;16,3083333333333;1,08333333333333;79,4166666666667;0
2015-06-17;20,6375;1,35416666666667;70,6666666666667;0
2015-06-18;21,15;1,34583333333333;75,5;0,6
2015-06-19;16,975;0,8875;79,9583333333333;0
2015-06-20;16,1875;0,941666666666666;74,125;0
2015-06-21;17,7458333333333;1,0625;69,375;0
2015-06-22;18,0625;1,35833333333333;72,625;0
2015-06-23;17,8041666666667;1,1375;71,6666666666667;0
2015-06-24;16,7166666666667;0,7875;78,0833333333333;0
2015-06-25;16,125;0,920833333333333;71,25;0
2015-06-26;16,0041666666667;1,16666666666667;71,2916666666667;0
2015-06-27;15,9458333333333;1,08333333333333;63,5;0
2015-06-28;15,9708333333333;1,23333333333333;62,2083333333333;0
2015-06-29;17,3708333333333;1,20416666666667;61,9166666666667;0
2015-06-30;18,325;1,09166666666667;68,5416666666667;0
2015-07-01;17,0375;0,8375;81,4583333333333;6,4
2015-07-02;17,925;0,908333333333333;82,2083333333333;0,2
2015-07-03;18,8541666666667;0,783333333333333;80,2916666666667;0,2
2015-07-04;18,6541666666667;0,745833333333333;80,5416666666667;0,2
2015-07-05;13,5416666666667;0,779166666666667;84;0,4
2015-07-06;16,6625;0,9;78,125;0
2015-07-07;16,3833333333333;0,483333333333333;91,6666666666667;51
2015-07-08;16,0458333333333;0,445833333333333;92,25;9,2
2015-07-09;15,5958333333333;0,7125;90,4166666666667;0
2015-07-10;18,0833333333333;1,34583333333333;79,625;0,2
2015-07-11;18,8666666666667;1,2125;70,8333333333333;0
2015-07-12;20,2166666666667;1,24166666666667;63,125;0
2015-07-13;21,9791666666667;1,15833333333333;55,6666666666667;0
2015-07-14;21,975;1,25416666666667;56,9166666666667;0
2015-07-15;21,3166666666667;1,4375;65,125;0
2015-07-16;20,3541666666667;1,00833333333333;68,9583333333333;0
2015-07-17;19,4833333333333;1,16666666666667;64,9166666666667;0
2015-07-18;19,3416666666667;1,40416666666667;59,6666666666667;0
2015-07-19;18,9625;1,41666666666667;57,7916666666667;0
2015-07-20;18,7541666666667;1,68333333333333;60,3333333333333;0
2015-07-21;18,6958333333333;1,41666666666667;66,8333333333333;0
2015-07-22;16,9958333333333;1,15833333333333;77,25;0
2015-07-23;17,9041666666667;1,07916666666667;73,625;0
2015-07-24;19,7416666666667;1,1375;66,5416666666667;0
2015-07-25;18,1291666666667;0,9125;83,7083333333333;5,4
2015-07-26;17,7625;1,22916666666667;81,125;0
2015-07-27;17,5583333333333;1,60833333333333;66,875;0,2
2015-07-28;17,3791666666667;1,675;57,0416666666667;0
2015-07-29;18,8708333333333;1,62083333333333;52,125;0
2015-07-30;18,8916666666667;1,69583333333333;52,5416666666667;0
2015-07-31;19,4916666666667;1,6625;54,1666666666667;0
2015-08-01;19,5291666666667;1,57083333333333;54,3333333333333;0
2015-08-02;19,1958333333333;1,56666666666667;54,2083333333333;0
2015-08-03;19,4875;1,78333333333333;55,0833333333333;0
2015-08-04;19,9041666666667;1,575;50,7083333333333;0
2015-08-05;19,4916666666667;2,02083333333333;50,4166666666667;0
2015-08-06;20,1125;1,6625;48,375;0
2015-08-07;21,2666666666667;1,80416666666667;44,625;0
2015-08-08;21,075;1,6375;46,125;0
2015-08-09;20,3333333333333;1,5375;54,8333333333333;0
2015-08-10;20,35;1,30416666666667;58,5833333333333;0
2015-08-11;19,8833333333333;1,3375;55,875;0
2015-08-12;18,8541666666667;1,73333333333333;53,625;0
2015-08-13;18,3708333333333;1,55;54,0833333333333;0
2015-08-14;18,575;1,6875;55,2916666666667;0
2015-08-15;20,25;1,39166666666667;49,75;0
2015-08-16;20,7166666666667;1,7125;47,6666666666667;0
2015-08-17;21,3041666666667;1,3;46,125;0
2015-08-18;21,3916666666667;1,18333333333333;46,6666666666667;0
2015-08-19;22,225;1,62083333333333;49;0
2015-08-20;18,2541666666667;1,26666666666667;58,375;0
2015-08-21;17,9;1,3125;63,5416666666667;0
2015-08-22;19,5333333333333;1,625;59,25;0
2015-08-23;20,5375;1,8375;50,5833333333333;0
2015-08-24;20,975;1,44583333333333;56,5833333333333;0
2015-08-25;16,875;1,04166666666667;81,5833333333333;6,6
2015-08-26;20,6;1,35;64,5833333333333;0
2015-08-27;18,325;1,04166666666667;72,75;2,4
2015-08-28;17,6875;1,2375;63,3333333333333;0
2015-08-29;19,4125;1,67083333333333;54,125;0
2015-08-30;22,575;1,61666666666667;44,875;0
2015-08-31;23,4;1,9875;45,2083333333333;0
2015-09-01;23,35;1,64166666666667;48,125;0
2015-09-02;20,5583333333333;1,34583333333333;65,1666666666667;0
2015-09-03;22,4875;1,54166666666667;55,7083333333333;0
2015-09-04;22,3583333333333;1,87916666666667;58,1666666666667;0
2015-09-05;18,725;1,3625;75,7083333333333;6,4
2015-09-06;20,0083333333333;1,29166666666667;70,5;0
2015-09-07;19,4416666666667;1,37083333333333;79,5833333333333;16,4
2015-09-08;18,3875;1,14166666666667;88,3333333333333;44,4
2015-09-09;17,4958333333333;0,779166666666666;85,9166666666667;4,8
2015-09-10;17,4791666666667;0,6125;89,9583333333333;6
2015-09-11;18,1333333333333;0,658333333333333;90,0833333333333;27,6
2015-09-12;17,5041666666667;0,441666666666667;91,125;4,8
2015-09-13;17,0458333333333;1,09583333333333;77,3333333333333;8,4
2015-09-14;17,875;1,20416666666667;73,9166666666667;0
2015-09-15;22,025;1,5;67,9583333333333;0
2015-09-16;25,7208333333333;1,45416666666667;53,6666666666667;0
2015-09-17;26,8041666666667;1,57083333333333;40,875;0
2015-09-18;26,65;1,7875;40,625;0
2015-09-19;26,4208333333333;1,775;35,1666666666667;0
2015-09-20;25,2416666666667;1,8375;33,2916666666667;0
2015-09-21;24,8208333333333;1,97083333333333;42,5833333333333;0
2015-09-22;25,3833333333333;1,87916666666667;34,4583333333333;0
